Date_and_time_of_unloading,Product_code,Amount,Sale_amount,Discount_amount,Profit,Percentage_markup,Discount_percentage
1/3/20 1:00,565,1,198,22,77.05,63.7,10
1/3/20 1:00,566,3,660,,321.93,95.23,
1/3/20 1:00,591,2,284.37,15.63,179.37,170.83,5.21
1/3/20 1:00,646,6,1508.5,171.5,653.5,76.43,10.21
1/3/20 1:00,653,1,300,,152,102.7,
1/3/20 1:00,661,1,295,75,108,57.75,20.27
1/3/20 1:00,663,1,295,75,108,57.75,20.27
1/3/20 1:00,688,1,243,27,120.28,98.01,10
1/3/20 1:00,706,6,960,,439.62,84.48,
1/3/20 1:00,717,5,1225,25,1225,,2
1/3/20 1:00,817,1,187.17,22.83,87.17,87.17,10.87
1/3/20 1:00,836,1,250,,135,117.39,
1/3/20 1:00,843,1,198,22,73,58.4,10
1/3/20 1:00,899,2,594.3,105.7,594.3,,15.1
1/3/20 1:00,965,1,225,25,110,95.65,10
1/3/20 1:00,1019,2.75,1900,80,1033.75,119.34,4.04
1/3/20 1:00,1030,1,159.89,40.11,61.89,63.15,20.06
1/3/20 1:00,1032,4,658.15,141.85,218.15,49.58,17.73
1/3/20 1:00,1071,1,420,,184,77.97,
1/3/20 1:00,1145,3.75,1588.08,361.92,650.58,69.4,18.56
1/3/20 1:00,1192,1,585,65,175,42.68,10
1/3/20 1:00,1205,5.25,2616.53,323.47,1607.33,159.27,11
1/3/20 1:00,1213,4,2535,345,1275,101.19,11.98
1/3/20 1:00,1238,3,672.83,77.17,327.83,95.02,10.29
1/3/20 1:00,1250,1,270,,152,128.81,
1/3/20 1:00,1326,2.25,1409.34,210.66,633.09,81.56,13
1/3/20 1:00,1392,1,405,45,150,58.82,10
1/3/20 1:00,1394,1,340.79,39.21,127.79,60,10.32
1/3/20 1:00,1434,3.75,1459.12,220.88,754.12,106.97,13.15
1/3/20 1:00,1450,0.25,195,25,82.5,73.33,11.36
1/3/20 1:00,1468,6,1200,120,228,23.46,9.09
1/3/20 1:00,1470,1,239.61,60.39,77.61,47.91,20.13
1/3/20 1:00,1494,1,260,,125,92.59,
1/3/20 1:00,1498,1,189,21,89,89,10
1/3/20 1:00,1509,1,222.5,57.5,95.83,75.65,20.54
1/3/20 1:00,1561,0.25,110,30,51.67,88.58,21.43
1/3/20 1:00,1562,1,295,55,95,47.5,15.71
1/3/20 1:00,1565,1,450,50,191,73.75,10
1/3/20 1:00,1581,1,560,140,153.39,37.72,20
1/3/20 1:00,1588,1,260,70,95,57.58,21.21
1/3/20 1:00,1590,3,965,115,377,64.12,10.65
1/3/20 1:00,1594,1.25,705,45,367.5,108.89,6
1/3/20 1:00,1620,1,280,,140,100,
1/3/20 1:00,1640,1,300,,175,140,
1/3/20 1:00,1661,1,334.86,85.14,114.86,52.21,20.27
1/3/20 1:00,1701,1,390,,165,73.33,
1/3/20 1:00,1718,1,255.14,64.86,95.14,59.46,20.27
1/3/20 1:00,1733,2,960.73,159.27,575.74,149.55,14.22
1/3/20 1:00,1746,9,1502.83,117.17,658.54,78,7.23
1/3/20 1:00,1747,3,750,90,295.11,64.88,10.71
1/3/20 1:00,1757,3,908.87,231.13,311.6,52.17,20.27
1/3/20 1:00,1772,1,835,45,373.75,81.03,5.11
1/3/20 1:00,1775,0.75,670,50,270.85,67.86,6.94
1/3/20 1:00,1776,4,1116.73,203.27,500.73,81.29,15.4
1/3/20 1:00,1779,2.5,1800.29,399.71,647.16,56.12,18.17
1/3/20 1:00,1781,1.25,1050,50,473.43,82.11,4.55
1/3/20 1:00,1782,0.75,600,,296.66,97.8,
1/3/20 1:00,1783,2,592.94,107.06,238.94,67.5,15.29
1/3/20 1:00,1784,0.75,635,25,289.06,83.56,3.79
1/3/20 1:00,1786,1,911.53,48.47,379.33,71.28,5.05
1/3/20 1:00,1789,1,810,70,348.75,75.61,7.95
1/3/20 1:00,1797,2,703.55,236.45,159.55,29.33,25.15
1/3/20 1:00,1803,1,250,30,115,85.19,10.71
1/3/20 1:00,1805,1,250,30,115,85.19,10.71
1/3/20 1:00,1806,2,446.74,113.26,176.74,65.46,20.23
1/3/20 1:00,1807,4,886.9,233.1,366.9,70.56,20.81
1/4/20 16:00,140,3,697.67,52.33,322.67,86.05,6.98
1/4/20 16:00,141,1,370,,155,72.09,
1/4/20 16:00,142,5,1370,30,660,92.96,2.14
1/4/20 16:00,144,5,1157.56,172.44,532.56,85.21,12.97
1/4/20 16:00,216,3,640,50,316,97.53,7.25
1/4/20 16:00,238,4,1053.72,266.28,353.72,50.53,20.17
1/4/20 16:00,257,4,1250,70,638,104.25,5.3
1/4/20 16:00,271,1,398.44,101.56,127.44,47.03,20.31
1/4/20 16:00,282,1,470,,299,174.85,
1/4/20 16:00,298,3,539.6,0.4,270.56,100.56,0.07
1/4/20 16:00,356,3,840,60,610.5,266.01,6.67
1/4/20 16:00,364,4,1137.47,262.53,597.47,110.64,18.75
1/4/20 16:00,380,5,1348.47,151.53,598.47,79.8,10.1
1/4/20 16:00,381,2,570,30,364,176.7,5
1/4/20 16:00,386,2,624.84,115.16,214.84,52.4,15.56
1/4/20 16:00,464,5,1280,120,630,96.92,8.57
1/4/20 16:00,472,1,300,,154.86,106.7,
1/4/20 16:00,474,2,627.7,72.3,254.82,68.34,10.33
1/4/20 16:00,476,3,810,90,353.34,77.37,10
1/4/20 16:00,479,2,600,,300.28,100.19,
1/4/20 16:00,481,17,4839.32,260.68,2492.3,106.19,5.11
1/4/20 16:00,490,3.75,2712.52,137.48,1491.22,122.1,4.82
1/4/20 16:00,495,8,5184.39,575.61,1664.39,47.28,9.99
1/4/20 16:00,530,1,205,25,97,89.81,10.87
1/4/20 16:00,564,7.25,3265.15,214.85,1639.7,100.88,6.17
1/4/20 16:00,566,4,788,92,337.24,74.82,10.45
1/4/20 16:00,581,1,550,,266.5,94,
1/4/20 16:00,591,4,419.97,180.03,209.97,99.99,30.01
1/4/20 16:00,616,1,326.72,83.28,82.72,33.9,20.31
1/4/20 16:00,643,1,225,25,78,53.06,10
1/4/20 16:00,645,1,230,30,90,64.29,11.54
1/4/20 16:00,646,3,750,90,315,72.41,10.71
1/4/20 16:00,653,6,1800,,912,102.7,
1/4/20 16:00,687,2,400,,230.08,135.4,
1/4/20 16:00,688,1,270,,147.28,120.01,
1/4/20 16:00,706,5,766.32,33.68,332.67,76.71,4.21
1/4/20 16:00,717,2,448.53,51.47,448.53,,10.29
1/4/20 16:00,783,1,250,,125,100,
1/4/20 16:00,816,2,560,140,226,67.66,20
1/4/20 16:00,840,1,250,,58,30.21,
1/4/20 16:00,888,1,1100,,-50,-4.35,
1/4/20 16:00,899,1,315,35,315,,10
1/4/20 16:00,965,3,629.68,70.32,284.68,82.52,10.05
1/4/20 16:00,1019,5.5,3828.24,131.76,2095.74,120.97,3.33
1/4/20 16:00,1030,4,720,80,328,83.67,10
1/4/20 16:00,1032,7,1138.29,261.71,368.29,47.83,18.69
1/4/20 16:00,1057,4,1053.72,266.28,429.72,68.87,20.17
1/4/20 16:00,1136,5,1184.5,65.5,497,72.29,5.24
1/4/20 16:00,1145,7.75,3695.72,334.28,1758.22,90.75,8.29
1/4/20 16:00,1205,4.5,2459.57,60.43,1594.53,184.33,2.4
1/4/20 16:00,1213,2,1401.25,38.75,771.25,122.42,2.69
1/4/20 16:00,1217,3,521.76,18.24,279.27,115.17,3.38
1/4/20 16:00,1238,1,250,31,135,117.39,11.03
1/4/20 16:00,1326,1.25,864,36,432.75,100.35,4
1/4/20 16:00,1390,1,310,170,31,11.11,35.42
1/4/20 16:00,1394,1,303.6,76.4,90.6,42.54,20.11
1/4/20 16:00,1434,7.5,3047.39,212.61,1637.39,116.13,6.52
1/4/20 16:00,1460,1,350,,165,89.19,
1/4/20 16:00,1471,3,830,130,344,70.78,13.54
1/4/20 16:00,1494,1,232.3,27.7,97.3,72.07,10.65
1/4/20 16:00,1498,1,185,25,85,85,11.9
1/4/20 16:00,1501,1,700,,385,122.22,
1/4/20 16:00,1509,2,500.38,59.62,247.04,97.51,10.65
1/4/20 16:00,1511,1,300,,150,100,
1/4/20 16:00,1517,1,600,,305,103.39,
1/4/20 16:00,1561,3.75,1995.63,104.37,1120.76,128.11,4.97
1/4/20 16:00,1562,1,315,35,115,57.5,10
1/4/20 16:00,1594,1.75,1018.03,31.97,545.53,115.46,3.04
1/4/20 16:00,1670,1,335.56,84.44,123.56,58.28,20.1
1/4/20 16:00,1698,1,214.62,25.38,99.62,86.63,10.58
1/4/20 16:00,1726,3,1050,,471,81.35,
1/4/20 16:00,1733,2.25,1118.15,141.85,685.02,158.16,11.26
1/4/20 16:00,1748,1,143.16,16.84,77.08,116.65,10.53
1/4/20 16:00,1772,0.75,590,70,244.06,70.55,10.61
1/4/20 16:00,1773,3,539.89,660.11,-99.11,-15.51,55.01
1/4/20 16:00,1775,2,1699.56,220.44,635.16,59.67,11.48
1/4/20 16:00,1776,6,1367.3,612.7,443.3,47.98,30.94
1/4/20 16:00,1777,3,2198.58,201.42,985.23,81.2,8.39
1/4/20 16:00,1778,6,1452.41,647.59,390.41,36.76,30.84
1/4/20 16:00,1779,7.5,5713.85,886.15,2254.48,65.17,13.43
1/4/20 16:00,1780,3,472.41,577.59,-58.59,-11.03,55.01
1/4/20 16:00,1781,0.75,660,,314.06,90.78,
1/4/20 16:00,1782,0.75,600,,296.66,97.8,
1/4/20 16:00,1783,4,822.41,577.59,114.41,16.16,41.26
1/4/20 16:00,1784,2,1715,45,792.5,85.91,2.56
1/4/20 16:00,1785,1,1237.25,1512.75,-414.75,-25.11,55.01
1/4/20 16:00,1786,1.5,1340.59,99.41,542.29,67.93,6.9
1/4/20 16:00,1787,3,445.41,544.59,-16.59,-3.59,55.01
1/4/20 16:00,1788,3,472.41,577.59,-58.59,-11.03,55.01
1/4/20 16:00,1789,1.25,1055,45,478.43,82.98,4.09
1/4/20 16:00,1793,1,386.13,43.87,143.13,58.9,10.2
1/4/20 16:00,1796,1,359.52,90.48,106.52,42.1,20.11
1/4/20 16:00,1797,3,1172.39,237.61,356.39,43.68,16.85
1/4/20 16:00,1804,5,1400,,725,107.41,
1/4/20 16:00,1805,1,223.55,56.45,88.55,65.59,20.16
1/4/20 16:00,1807,6,1379.4,300.6,599.4,76.85,17.89
1/5/20 16:00,131,1,270,30,124,84.93,10
1/5/20 16:00,132,1,315,35,136,75.98,10
1/5/20 16:00,138,1,315,35,147,87.5,10
1/5/20 16:00,141,1,333,37,118,54.88,10
1/5/20 16:00,142,1,280,,138,97.18,
1/5/20 16:00,144,1,280,,155,124,
1/5/20 16:00,177,1,1000,,432,76.06,
1/5/20 16:00,209,1,293.62,126.38,58.62,24.94,30.09
1/5/20 16:00,282,1,422.53,47.47,251.53,147.09,10.1
1/5/20 16:00,296,5,860,40,390.95,83.35,4.44
1/5/20 16:00,298,1,180,,90.32,100.71,
1/5/20 16:00,310,7,4344.49,695.51,1999.49,85.27,13.8
1/5/20 16:00,356,3,839.41,60.59,609.91,265.76,6.73
1/5/20 16:00,364,1,314.04,35.96,179.04,132.62,10.27
1/5/20 16:00,380,2,600,,300,100,
1/5/20 16:00,381,1,285,15,182,176.7,5
1/5/20 16:00,464,1,223.21,56.79,93.21,71.7,20.28
1/5/20 16:00,474,1,350,,163.56,87.73,
1/5/20 16:00,483,1,488.03,211.97,152.91,45.63,30.28
1/5/20 16:00,490,4.75,3455.42,154.58,1908.44,123.37,4.28
1/5/20 16:00,519,4,770,30,770,,3.75
1/5/20 16:00,564,2.25,1011.82,68.18,507.37,100.58,6.31
1/5/20 16:00,566,2,394.88,45.12,169.5,75.21,10.25
1/5/20 16:00,581,1,384.51,165.49,101.01,35.63,30.09
1/5/20 16:00,591,6,870,30,555,176.19,3.33
1/5/20 16:00,601,1,250,,60,31.58,
1/5/20 16:00,615,1,300,130,55,22.45,30.23
1/5/20 16:00,646,1,280,,135,93.1,
1/5/20 16:00,653,2,480,120,184,62.16,20
1/5/20 16:00,688,4,916.65,163.35,425.77,86.74,15.13
1/5/20 16:00,706,1,142.86,17.14,56.13,64.72,10.71
1/5/20 16:00,843,1,220,,95,76,
1/5/20 16:00,888,1,1100,,-50,-4.35,
1/5/20 16:00,899,3,1015,35,1015,,3.33
1/5/20 16:00,903,1,250,30,115,85.19,10.71
1/5/20 16:00,1032,1,200,,90,81.82,
1/5/20 16:00,1071,1,420,,184,77.97,
1/5/20 16:00,1085,5.25,2246.57,153.43,1242.51,123.75,6.39
1/5/20 16:00,1090,1,220,60,100,83.33,21.43
1/5/20 16:00,1136,1,250,,112.5,81.82,
1/5/20 16:00,1145,1.75,816.75,93.25,379.25,86.69,10.25
1/5/20 16:00,1152,1,363.53,156.47,67.53,22.81,30.09
1/5/20 16:00,1205,11,5877.38,282.62,3762.85,177.95,4.59
1/5/20 16:00,1213,2.25,1563.39,56.61,854.64,120.58,3.49
1/5/20 16:00,1238,3,700,50,355,102.9,6.67
1/5/20 16:00,1295,1,518.92,131.08,126.92,32.38,20.17
1/5/20 16:00,1318,8,1478.4,121.6,698.4,89.54,7.6
1/5/20 16:00,1326,2.75,1860,120,911.25,96.05,6.06
1/5/20 16:00,1397,1,675,75,260,62.65,10
1/5/20 16:00,1474,2.25,1795.83,184.17,787.08,78.03,9.3
1/5/20 16:00,1501,1,665,35,350,111.11,5
1/5/20 16:00,1509,1,195.75,84.25,69.08,54.54,30.09
1/5/20 16:00,1510,1,280,,150,115.38,
1/5/20 16:00,1512,1,280,,153.33,121.05,
1/5/20 16:00,1549,2,1380,220,580,72.5,13.75
1/5/20 16:00,1561,3.75,2010,90,1135.12,129.75,4.29
1/5/20 16:00,1569,1,400,,194.3,94.46,
1/5/20 16:00,1582,1,960,240,175.7,22.4,20
1/5/20 16:00,1590,2,664,56,272,69.39,7.78
1/5/20 16:00,1607,1,328.58,141.42,63.58,23.99,30.09
1/5/20 16:00,1620,1,251.67,28.33,111.67,79.76,10.12
1/5/20 16:00,1633,1.25,1289.42,210.58,620.67,92.81,14.04
1/5/20 16:00,1637,1,314.6,135.4,64.6,25.84,30.09
1/5/20 16:00,1691,1,279.43,70.57,102.43,57.87,20.16
1/5/20 16:00,1704,1,750,,315,72.41,
1/5/20 16:00,1733,1.5,755,85,466.25,161.47,10.12
1/5/20 16:00,1739,0.5,479.22,120.78,179.22,59.74,20.13
1/5/20 16:00,1745,1,161.53,18.47,86.6,115.57,10.26
1/5/20 16:00,1747,1,280,,128.37,84.66,
1/5/20 16:00,1748,1,143.59,16.41,77.51,117.3,10.26
1/5/20 16:00,1760,1,500,,195.58,64.25,
1/5/20 16:00,1769,8.75,4976.15,273.85,2578.65,107.56,5.22
1/5/20 16:00,1772,1,767.16,112.84,305.91,66.32,12.82
1/5/20 16:00,1775,0.75,645.81,74.19,246.66,61.8,10.3
1/5/20 16:00,1777,1.25,980,20,474.43,93.84,2
1/5/20 16:00,1779,0.25,220,,104.69,90.79,
1/5/20 16:00,1781,1.75,1406.96,133.04,599.78,74.31,8.64
1/5/20 16:00,1782,1.25,1000,,494.44,97.8,
1/5/20 16:00,1784,0.25,220,,104.69,90.79,
1/5/20 16:00,1786,1.25,1029.13,170.87,363.88,54.7,14.24
1/5/20 16:00,1790,2,1135,205,442,63.78,15.3
1/5/20 16:00,1791,2,1360,340,460,51.11,20
1/5/20 16:00,1797,1,328.43,141.57,56.43,20.75,30.12
1/5/20 16:00,1806,4,945,175,405,75,15.63
1/5/20 16:00,1807,2,503.33,56.67,243.33,93.59,10.12
1/5/20 16:00,1808,3,695,145,284,69.1,17.26
1/6/20 16:00,129,2,630,70,272,75.98,10
1/6/20 16:00,133,1,300,80,112,59.57,21.05
1/6/20 16:00,140,2,500,,250,100,
1/6/20 16:00,144,1,210,,85,68,
1/6/20 16:00,159,1,450,,206,84.43,
1/6/20 16:00,209,2,671.49,168.51,201.49,42.87,20.06
1/6/20 16:00,211,1,650,,303.5,87.59,
1/6/20 16:00,212,1,650,,303.5,87.59,
1/6/20 16:00,217,1,700,,290.5,70.94,
1/6/20 16:00,256,1,330,,158,91.86,
1/6/20 16:00,258,1,800,,334,71.67,
1/6/20 16:00,276,1,330,,160,94.12,
1/6/20 16:00,282,1,470,,299,174.85,
1/6/20 16:00,296,1,160,20,66.19,70.56,11.11
1/6/20 16:00,310,4.5,3140,100,1632.5,108.29,3.09
1/6/20 16:00,364,1,350,,215,159.26,
1/6/20 16:00,380,3,837.21,62.79,387.21,86.05,6.98
1/6/20 16:00,474,1,350,,163.56,87.73,
1/6/20 16:00,479,1,300,,150.14,100.19,
1/6/20 16:00,490,11.5,8400.81,339.19,4655.49,124.3,3.88
1/6/20 16:00,519,1,200,,200,,
1/6/20 16:00,564,4.5,2031.43,128.57,1022.53,101.35,5.95
1/6/20 16:00,566,11,2330,90,1090.41,87.97,3.72
1/6/20 16:00,591,3,450,,292.5,185.71,
1/6/20 16:00,615,1,430,,185,75.51,
1/6/20 16:00,616,1,365,45,121,49.59,10.98
1/6/20 16:00,643,3,750,,309,70.07,
1/6/20 16:00,646,7,1930,30,915,90.15,1.53
1/6/20 16:00,653,3,809.3,90.7,365.3,82.27,10.08
1/6/20 16:00,706,2,280,40,106.54,61.42,12.5
1/6/20 16:00,799,1,360,40,125,53.19,10
1/6/20 16:00,843,3,610,50,235,62.67,7.58
1/6/20 16:00,888,1,900,,-250,-21.74,
1/6/20 16:00,899,3,1011.07,38.93,1011.07,,3.71
1/6/20 16:00,914,1,600,,225,60,
1/6/20 16:00,925,1,770,,426.3,124.03,
1/6/20 16:00,965,1,225,25,110,95.65,10
1/6/20 16:00,1019,1.5,1042,38,569.5,120.53,3.52
1/6/20 16:00,1032,4,699.52,100.48,259.52,58.98,12.56
1/6/20 16:00,1085,5.5,2277.64,182.36,1225.76,116.53,7.41
1/6/20 16:00,1126,1,450,,181.2,67.41,
1/6/20 16:00,1131,2,719.51,80.49,267.51,59.18,10.06
1/6/20 16:00,1145,2.25,974.64,195.36,412.14,73.27,16.7
1/6/20 16:00,1205,8,3989.06,490.94,2451.22,159.39,10.96
1/6/20 16:00,1213,6,4085.57,234.43,2195.57,116.17,5.43
1/6/20 16:00,1238,3,700,50,355,102.9,6.67
1/6/20 16:00,1317,2,388.37,11.63,193.37,99.16,2.91
1/6/20 16:00,1318,1,180,20,82.5,84.62,10
1/6/20 16:00,1326,1.75,1130.36,129.64,526.61,87.22,10.29
1/6/20 16:00,1392,4,1573.66,226.34,553.66,54.28,12.57
1/6/20 16:00,1405,1,216.63,13.37,101.63,88.37,5.81
1/6/20 16:00,1415,1,350,,164,88.17,
1/6/20 16:00,1474,1.25,1030,70,469.59,83.79,6.36
1/6/20 16:00,1486,1,630,70,230,57.5,10
1/6/20 16:00,1510,1,280,,150,115.38,
1/6/20 16:00,1512,1,250,30,123.33,97.36,10.71
1/6/20 16:00,1517,1,600,,305,103.39,
1/6/20 16:00,1549,1.25,1000,,500,100,
1/6/20 16:00,1561,3,1582.35,97.65,882.45,126.08,5.81
1/6/20 16:00,1568,1,264,66,99,60,20
1/6/20 16:00,1590,1,320,40,124,63.27,11.11
1/6/20 16:00,1633,2,2310,90,1240,115.89,3.75
1/6/20 16:00,1634,1,330,40,122,58.65,10.81
1/6/20 16:00,1637,1,450,,200,80,
1/6/20 16:00,1649,4,1725.53,194.47,992.22,135.31,10.13
